(0,0,0);(7,3,2)
(0,0,2);(7,3,2)
(0,0,4);(7,3,2)
(0,0,6);(7,3,2)
(0,0,8);(7,3,2)
(0,0,10);(7,3,2)
(0,0,12);(7,3,2)
(0,0,14);(7,3,2)
(0,0,16);(7,3,2)
(0,0,18);(7,3,2)
(0,0,20);(7,3,2)
(0,0,22);(7,3,2)
(0,0,24);(7,3,2)
(0,0,26);(7,3,2)
(0,0,28);(7,3,2)
(0,0,30);(7,3,2)
(0,0,32);(7,3,2)
(0,0,34);(7,3,2)
(0,0,36);(7,3,2)
(0,0,38);(7,3,2)
(0,0,40);(7,3,2)
(0,0,42);(7,3,2)
(0,0,44);(7,3,2)
(0,0,46);(7,3,2)
(0,0,48);(7,3,2)
(0,0,50);(7,3,2)
(0,0,52);(7,3,2)
(0,0,54);(7,3,2)
(0,0,56);(7,3,2)
(0,0,58);(7,3,2)
(0,0,60);(7,3,2)
(0,0,62);(7,3,2)
(0,0,64);(7,3,2)
(0,0,66);(7,3,2)
(0,0,68);(7,3,2)
(0,0,70);(7,3,2)
(0,0,72);(7,3,2)
(0,0,74);(7,3,2)
(0,0,76);(7,3,2)
(0,0,78);(7,3,2)
(0,0,80);(7,3,2)
(0,0,82);(7,3,2)
(0,0,84);(7,3,2)
(0,0,86);(7,3,2)
(0,0,88);(13,7,1)
(0,3,0);(7,3,2)
(0,3,2);(7,3,2)
(0,3,4);(7,3,2)
(0,3,6);(7,3,2)
(0,3,8);(7,3,2)
(0,3,10);(7,3,2)
(0,3,12);(7,3,2)
(0,3,14);(7,3,2)
(0,3,16);(7,3,2)
(0,3,18);(7,3,2)
(0,3,20);(7,3,2)
(0,3,22);(7,3,2)
(0,3,24);(7,3,2)
(0,3,26);(7,3,2)
(0,3,28);(7,3,2)
(0,3,30);(7,3,2)
(0,3,32);(7,3,2)
(0,3,34);(7,3,2)
(0,3,36);(7,3,2)
(0,3,38);(7,3,2)
(0,3,40);(7,3,2)
(0,3,42);(7,3,2)
(0,3,44);(7,3,2)
(0,3,46);(7,3,2)
(0,3,48);(7,3,2)
(0,3,50);(7,3,2)
(0,3,52);(7,3,2)
(0,3,54);(7,3,2)
(0,3,56);(7,3,2)
(0,3,58);(7,3,2)
(0,3,60);(7,3,2)
(0,3,62);(7,3,2)
(0,3,64);(7,3,2)
(0,3,66);(7,3,2)
(0,3,68);(7,3,2)
(0,3,70);(7,3,2)
(0,3,72);(7,3,2)
(0,3,74);(7,3,2)
(0,3,76);(7,3,2)
(0,3,78);(7,3,2)
(0,3,80);(7,3,2)
(0,3,82);(7,3,2)
(0,3,84);(7,3,2)
(0,3,86);(7,3,2)
(0,6,0);(7,3,2)
(0,6,2);(7,3,2)
(0,6,4);(7,3,2)
(0,6,6);(7,3,2)
(0,6,8);(7,3,2)
(0,6,10);(7,3,2)
(0,6,12);(7,3,2)
(0,6,14);(7,3,2)
(0,6,16);(7,3,2)
(0,6,18);(7,3,2)
(0,6,20);(7,3,2)
(0,6,22);(7,3,2)
(0,6,24);(7,3,2)
(0,6,26);(7,3,2)
(0,6,28);(7,3,2)
(0,6,30);(7,3,2)
(0,6,32);(7,3,2)
(0,6,34);(7,3,2)
(0,6,36);(7,3,2)
(0,6,38);(7,3,2)
(0,6,40);(7,3,2)
(0,6,42);(7,3,2)
(0,6,44);(7,3,2)
(0,6,46);(7,3,2)
(0,6,48);(7,3,2)
(0,6,50);(7,3,2)
(0,6,52);(7,3,2)
(0,6,54);(7,3,2)
(0,6,56);(7,3,2)
(0,6,58);(7,3,2)
(0,6,60);(7,3,2)
(0,6,62);(7,3,2)
(0,6,64);(7,3,2)
(0,6,66);(7,3,2)
(0,6,68);(7,3,2)
(0,6,70);(7,3,2)
(0,6,72);(7,3,2)
(0,6,74);(7,3,2)
(0,6,76);(7,3,2)
(0,6,78);(7,3,2)
(0,6,80);(7,3,2)
(0,6,82);(7,3,2)
(0,6,84);(7,3,2)
(0,6,86);(7,3,2)
(0,7,88);(13,7,1)
(0,9,0);(7,3,2)
(0,9,2);(7,3,2)
(0,9,4);(7,3,2)
(0,9,6);(7,3,2)
(0,9,8);(7,3,2)
(0,9,10);(7,3,2)
(0,9,12);(7,3,2)
(0,9,14);(7,3,2)
(0,9,16);(7,3,2)
(0,9,18);(7,3,2)
(0,9,20);(7,3,2)
(0,9,22);(7,3,2)
(0,9,24);(7,3,2)
(0,9,26);(7,3,2)
(0,9,28);(7,3,2)
(0,9,30);(7,3,2)
(0,9,32);(7,3,2)
(0,9,34);(7,3,2)
(0,9,36);(7,3,2)
(0,9,38);(7,3,2)
(0,9,40);(7,3,2)
(0,9,42);(7,3,2)
(0,9,44);(7,3,2)
(0,9,46);(7,3,2)
(0,9,48);(7,3,2)
(0,9,50);(7,3,2)
(0,9,52);(7,3,2)
(0,9,54);(7,3,2)
(0,9,56);(7,3,2)
(0,9,58);(7,3,2)
(0,9,60);(7,3,2)
(0,9,62);(7,3,2)
(0,9,64);(7,3,2)
(0,9,66);(7,3,2)
(0,9,68);(7,3,2)
(0,9,70);(7,3,2)
(0,9,72);(7,3,2)
(0,9,74);(7,3,2)
(0,9,76);(7,3,2)
(0,9,78);(7,3,2)
(0,9,80);(7,3,2)
(0,9,82);(7,3,2)
(0,9,84);(7,3,2)
