(0,0,0);(2,3,5)
(0,0,5);(2,3,5)
(0,0,10);(2,3,5)
(0,3,0);(2,3,5)
(0,3,5);(2,3,5)
(0,3,10);(2,3,5)
(0,6,0);(2,3,5)
(0,6,5);(2,3,5)
(0,6,10);(2,3,5)
(0,9,0);(2,3,5)
(0,9,5);(2,3,5)
(0,9,10);(2,3,5)
(0,12,0);(2,3,5)
(0,12,5);(2,3,5)
(0,12,10);(2,3,5)
(0,15,0);(2,3,5)
(0,15,5);(2,3,5)
(0,15,10);(2,3,5)
(0,18,0);(2,3,5)
(0,18,5);(2,3,5)
(0,18,10);(2,3,5)
(2,0,0);(2,3,5)
(2,0,5);(2,3,5)
(2,0,10);(2,3,5)
(2,3,0);(2,3,5)
(2,3,5);(2,3,5)
(2,3,10);(2,3,5)
(2,6,0);(2,3,5)
(2,6,5);(2,3,5)
(2,6,10);(2,3,5)
(2,9,0);(2,3,5)
(2,9,5);(2,3,5)
(2,9,10);(2,3,5)
(2,12,0);(2,3,5)
(2,12,5);(2,3,5)
(2,12,10);(2,3,5)
(2,15,0);(2,3,5)
(2,15,5);(2,3,5)
(2,15,10);(2,3,5)
(2,18,0);(2,3,5)
(2,18,5);(2,3,5)
(2,18,10);(2,3,5)
(4,0,0);(2,3,5)
(4,0,5);(2,3,5)
(4,0,10);(2,3,5)
(4,3,0);(2,3,5)
(4,3,5);(2,3,5)
(4,3,10);(2,3,5)
(4,6,0);(2,3,5)
(4,6,5);(2,3,5)
(4,6,10);(2,3,5)
(4,9,0);(2,3,5)
(4,9,5);(2,3,5)
(4,9,10);(2,3,5)
(4,12,0);(2,3,5)
(4,12,5);(2,3,5)
(4,12,10);(2,3,5)
(4,15,0);(2,3,5)
(4,15,5);(2,3,5)
(4,15,10);(2,3,5)
(4,18,0);(2,3,5)
(4,18,5);(2,3,5)
(4,18,10);(2,3,5)
(6,0,0);(2,3,5)
(6,0,5);(2,3,5)
(6,0,10);(2,3,5)
(6,3,0);(2,3,5)
(6,3,5);(2,3,5)
(6,3,10);(2,3,5)
(6,6,0);(2,3,5)
(6,6,5);(2,3,5)
(6,6,10);(2,3,5)
(6,9,0);(2,3,5)
(6,9,5);(2,3,5)
(6,9,10);(2,3,5)
(6,12,0);(2,3,5)
(6,12,5);(2,3,5)
(6,12,10);(2,3,5)
(6,15,0);(2,3,5)
(6,15,5);(2,3,5)
(6,15,10);(2,3,5)
(6,18,0);(2,3,5)
(6,18,5);(2,3,5)
(6,18,10);(2,3,5)
(8,0,0);(2,3,5)
(8,0,5);(2,3,5)
(8,0,10);(2,3,5)
(8,3,0);(2,3,5)
(8,3,5);(2,3,5)
(8,3,10);(2,3,5)
(8,6,0);(2,3,5)
(8,6,5);(2,3,5)
(8,6,10);(2,3,5)
(8,9,0);(2,3,5)
(8,9,5);(2,3,5)
(8,9,10);(2,3,5)
(8,12,0);(2,3,5)
(8,12,5);(2,3,5)
(8,12,10);(2,3,5)
(8,15,0);(2,3,5)
(8,15,5);(2,3,5)
(8,15,10);(2,3,5)
(8,18,0);(2,3,5)
(8,18,5);(2,3,5)
(8,18,10);(2,3,5)
(10,0,0);(2,3,5)
(10,0,5);(2,3,5)
(10,0,10);(2,3,5)
(10,3,0);(2,3,5)
(10,3,5);(2,3,5)
(10,3,10);(2,3,5)
(10,6,0);(2,3,5)
(10,6,5);(2,3,5)
(10,6,10);(2,3,5)
(10,9,0);(2,3,5)
(10,9,5);(2,3,5)
(10,9,10);(2,3,5)
(10,12,0);(2,3,5)
(10,12,5);(2,3,5)
(10,12,10);(2,3,5)
(10,15,0);(2,3,5)
(10,15,5);(2,3,5)
(10,15,10);(2,3,5)
(10,18,0);(2,3,5)
(10,18,5);(2,3,5)
(10,18,10);(2,3,5)
(12,0,0);(2,3,5)
(12,0,5);(2,3,5)
(12,0,10);(2,3,5)
(12,3,0);(2,3,5)
(12,3,5);(2,3,5)
(12,3,10);(2,3,5)
(12,6,0);(2,3,5)
(12,6,5);(2,3,5)
(12,6,10);(2,3,5)
(12,9,0);(2,3,5)
(12,9,5);(2,3,5)
(12,9,10);(2,3,5)
(12,12,0);(2,3,5)
(12,12,5);(2,3,5)
(12,12,10);(2,3,5)
(12,15,0);(2,3,5)
(12,15,5);(2,3,5)
(12,15,10);(2,3,5)
(12,18,0);(2,3,5)
(12,18,5);(2,3,5)
(12,18,10);(2,3,5)
(14,0,0);(2,3,5)
(14,0,5);(2,3,5)
(14,0,10);(2,3,5)
(14,3,0);(2,3,5)
(14,3,5);(2,3,5)
(14,3,10);(2,3,5)
(14,6,0);(2,3,5)
(14,6,5);(2,3,5)
(14,6,10);(2,3,5)
(14,9,0);(2,3,5)
(14,9,5);(2,3,5)
(14,9,10);(2,3,5)
(14,12,0);(2,3,5)
(14,12,5);(2,3,5)
(14,12,10);(2,3,5)
(14,15,0);(2,3,5)
(14,15,5);(2,3,5)
(14,15,10);(2,3,5)
(14,18,0);(2,3,5)
(14,18,5);(2,3,5)
(14,18,10);(2,3,5)
(16,0,0);(2,3,5)
(16,0,5);(2,3,5)
(16,0,10);(2,3,5)
(16,3,0);(2,3,5)
(16,3,5);(2,3,5)
(16,3,10);(2,3,5)
(16,6,0);(2,3,5)
(16,6,5);(2,3,5)
(16,6,10);(2,3,5)
(16,9,0);(2,3,5)
(16,9,5);(2,3,5)
(16,9,10);(2,3,5)
(16,12,0);(2,3,5)
(16,12,5);(2,3,5)
(16,12,10);(2,3,5)
(16,15,0);(2,3,5)
(16,15,5);(2,3,5)
(16,15,10);(2,3,5)
(16,18,0);(2,3,5)
(16,18,5);(2,3,5)
(16,18,10);(2,3,5)
(18,0,0);(2,3,5)
(18,0,5);(2,3,5)
(18,0,10);(2,3,5)
(18,3,0);(2,3,5)
(18,3,5);(2,3,5)
(18,3,10);(2,3,5)
(18,6,0);(2,3,5)
(18,6,5);(2,3,5)
(18,6,10);(2,3,5)
(18,9,0);(2,3,5)
(18,9,5);(2,3,5)
(18,9,10);(2,3,5)
(18,12,0);(2,3,5)
(18,12,5);(2,3,5)
(18,12,10);(2,3,5)
(18,15,0);(2,3,5)
(18,15,5);(2,3,5)
(18,15,10);(2,3,5)
(18,18,0);(2,3,5)
(18,18,5);(2,3,5)
(18,18,10);(2,3,5)
(20,0,0);(2,3,5)
(20,0,5);(2,3,5)
(20,0,10);(2,3,5)
(20,3,0);(2,3,5)
(20,3,5);(2,3,5)
(20,3,10);(2,3,5)
(20,6,0);(2,3,5)
(20,6,5);(2,3,5)
(20,6,10);(2,3,5)
(20,9,0);(2,3,5)
(20,9,5);(2,3,5)
(20,9,10);(2,3,5)
(20,12,0);(2,3,5)
(20,12,5);(2,3,5)
(20,12,10);(2,3,5)
(20,15,0);(2,3,5)
(20,15,5);(2,3,5)
(20,15,10);(2,3,5)
(20,18,0);(2,3,5)
(20,18,5);(2,3,5)
(20,18,10);(2,3,5)
(22,0,0);(2,3,5)
(22,0,5);(2,3,5)
(22,0,10);(2,3,5)
(22,3,0);(2,3,5)
(22,3,5);(2,3,5)
(22,3,10);(2,3,5)
(22,6,0);(2,3,5)
(22,6,5);(2,3,5)
(22,6,10);(2,3,5)
(22,9,0);(2,3,5)
(22,9,5);(2,3,5)
(22,9,10);(2,3,5)
(22,12,0);(2,3,5)
(22,12,5);(2,3,5)
(22,12,10);(2,3,5)
(22,15,0);(2,3,5)
(22,15,5);(2,3,5)
(22,15,10);(2,3,5)
(22,18,0);(2,3,5)
(22,18,5);(2,3,5)
(22,18,10);(2,3,5)
(24,0,0);(2,3,5)
(24,0,5);(2,3,5)
(24,0,10);(2,3,5)
(24,3,0);(2,3,5)
(24,3,5);(2,3,5)
(24,3,10);(2,3,5)
(24,6,0);(2,3,5)
(24,6,5);(2,3,5)
(24,6,10);(2,3,5)
(24,9,0);(2,3,5)
(24,9,5);(2,3,5)
(24,9,10);(2,3,5)
(24,12,0);(2,3,5)
(24,12,5);(2,3,5)
(24,12,10);(2,3,5)
(24,15,0);(2,3,5)
(24,15,5);(2,3,5)
(24,15,10);(2,3,5)
(24,18,0);(2,3,5)
(24,18,5);(2,3,5)
(24,18,10);(2,3,5)
(26,0,0);(2,3,5)
(26,0,5);(2,3,5)
(26,0,10);(2,3,5)
(26,3,0);(2,3,5)
(26,3,5);(2,3,5)
(26,3,10);(2,3,5)
(26,6,0);(2,3,5)
(26,6,5);(2,3,5)
(26,6,10);(2,3,5)
(26,9,0);(2,3,5)
(26,9,5);(2,3,5)
(26,9,10);(2,3,5)
(26,12,0);(2,3,5)
(26,12,5);(2,3,5)
(26,12,10);(2,3,5)
(26,15,0);(2,3,5)
(26,15,5);(2,3,5)
(26,15,10);(2,3,5)
(26,18,0);(2,3,5)
(26,18,5);(2,3,5)
(26,18,10);(2,3,5)
(28,0,0);(2,3,5)
(28,0,5);(2,3,5)
(28,0,10);(2,3,5)
(28,3,0);(2,3,5)
(28,3,5);(2,3,5)
(28,3,10);(2,3,5)
(28,6,0);(2,3,5)
(28,6,5);(2,3,5)
(28,6,10);(2,3,5)
(28,9,0);(2,3,5)
(28,9,5);(2,3,5)
(28,9,10);(2,3,5)
(28,12,0);(2,3,5)
(28,12,5);(2,3,5)
(28,12,10);(2,3,5)
(28,15,0);(2,3,5)
(28,15,5);(2,3,5)
(28,15,10);(2,3,5)
(28,18,0);(2,3,5)
(28,18,5);(2,3,5)
(28,18,10);(2,3,5)
(30,0,0);(2,3,5)
(30,0,5);(2,3,5)
(30,0,10);(2,3,5)
(30,3,0);(2,3,5)
(30,3,5);(2,3,5)
(30,3,10);(2,3,5)
(30,6,0);(2,3,5)
(30,6,5);(2,3,5)
(30,6,10);(2,3,5)
(30,9,0);(2,3,5)
(30,9,5);(2,3,5)
(30,9,10);(2,3,5)
(30,12,0);(2,3,5)
(30,12,5);(2,3,5)
(30,12,10);(2,3,5)
(30,15,0);(2,3,5)
(30,15,5);(2,3,5)
(30,15,10);(2,3,5)
(30,18,0);(2,3,5)
(30,18,5);(2,3,5)
(30,18,10);(2,3,5)
(32,0,0);(2,3,5)
(32,0,5);(2,3,5)
(32,0,10);(2,3,5)
(32,3,0);(2,3,5)
(32,3,5);(2,3,5)
(32,3,10);(2,3,5)
(32,6,0);(2,3,5)
(32,6,5);(2,3,5)
(32,6,10);(2,3,5)
(32,9,0);(2,3,5)
(32,9,5);(2,3,5)
(32,9,10);(2,3,5)
(32,12,0);(2,3,5)
(32,12,5);(2,3,5)
(32,12,10);(2,3,5)
(32,15,0);(2,3,5)
(32,15,5);(2,3,5)
(32,15,10);(2,3,5)
(32,18,0);(2,3,5)
(32,18,5);(2,3,5)
(32,18,10);(2,3,5)
(34,0,0);(2,3,5)
(34,0,5);(2,3,5)
(34,0,10);(2,3,5)
(34,3,0);(2,3,5)
(34,3,5);(2,3,5)
(34,3,10);(2,3,5)
(34,6,0);(2,3,5)
(34,6,5);(2,3,5)
(34,6,10);(2,3,5)
(34,9,0);(2,3,5)
(34,9,5);(2,3,5)
(34,9,10);(2,3,5)
(34,12,0);(2,3,5)
(34,12,5);(2,3,5)
(34,12,10);(2,3,5)
(34,15,0);(2,3,5)
(34,15,5);(2,3,5)
(34,15,10);(2,3,5)
(34,18,0);(2,3,5)
(34,18,5);(2,3,5)
(34,18,10);(2,3,5)
