(0,0,0);(2,2,4)
(0,0,4);(2,2,4)
(0,2,0);(2,2,4)
(0,2,4);(2,2,4)
(2,0,0);(2,2,4)
(2,0,4);(2,2,4)
(2,2,0);(2,2,4)
(2,2,4);(2,2,4)
(4,0,0);(2,2,4)
(4,0,4);(2,2,4)
(4,2,0);(2,2,4)
(4,2,4);(2,2,4)
(6,0,0);(2,2,4)
(6,0,4);(2,2,4)
(6,2,0);(2,2,4)
(6,2,4);(2,2,4)
(8,0,0);(2,2,4)
(8,0,4);(2,2,4)
(8,2,0);(2,2,4)
(8,2,4);(2,2,4)
(10,0,0);(2,2,4)
(10,0,4);(2,2,4)
(10,2,0);(2,2,4)
(10,2,4);(2,2,4)
(12,0,0);(2,2,4)
(12,0,4);(2,2,4)
(12,2,0);(2,2,4)
(12,2,4);(2,2,4)
(14,0,0);(2,2,4)
(14,0,4);(2,2,4)
(14,2,0);(2,2,4)
(14,2,4);(2,2,4)
(16,0,0);(2,2,4)
(16,0,4);(2,2,4)
(16,2,0);(2,2,4)
(16,2,4);(2,2,4)
(18,0,0);(2,2,4)
(18,0,4);(2,2,4)
(18,2,0);(2,2,4)
(18,2,4);(2,2,4)
(20,0,0);(2,2,4)
(20,0,4);(2,2,4)
(20,2,0);(2,2,4)
(20,2,4);(2,2,4)
(22,0,0);(2,2,4)
(22,0,4);(2,2,4)
(22,2,0);(2,2,4)
(22,2,4);(2,2,4)
(24,0,0);(2,2,4)
(24,0,4);(2,2,4)
(24,2,0);(2,2,4)
(24,2,4);(2,2,4)
(26,0,0);(2,2,4)
(26,0,4);(2,2,4)
(26,2,0);(2,2,4)
(26,2,4);(2,2,4)
(28,0,0);(2,2,4)
(28,0,4);(2,2,4)
(28,2,0);(2,2,4)
(28,2,4);(2,2,4)
(30,0,0);(2,2,4)
(30,0,4);(2,2,4)
(30,2,0);(2,2,4)
(30,2,4);(2,2,4)
