(0,0,0);(2,2,4)
(0,0,4);(2,2,4)
(0,2,0);(2,2,4)
(0,2,4);(2,2,4)
(0,4,0);(1,1,4)
(0,4,4);(1,1,4)
(1,4,0);(1,1,4)
(1,4,4);(1,1,4)
(2,0,0);(2,2,4)
(2,0,4);(2,2,4)
(2,2,0);(2,2,4)
(2,2,4);(2,2,4)
(2,4,0);(1,1,4)
(2,4,4);(1,1,4)
(3,4,0);(1,1,4)
(3,4,4);(1,1,4)
(4,0,0);(2,2,4)
(4,0,4);(2,2,4)
(4,2,0);(2,2,4)
(4,2,4);(2,2,4)
(4,4,0);(1,1,4)
(4,4,4);(1,1,4)
(5,4,0);(1,1,4)
(5,4,4);(1,1,4)
(6,0,0);(2,2,4)
(6,0,4);(2,2,4)
(6,2,0);(2,2,4)
(6,2,4);(2,2,4)
(6,4,0);(1,1,4)
(6,4,4);(1,1,4)
(7,4,0);(1,1,4)
(7,4,4);(1,1,4)
(8,0,0);(2,2,4)
(8,0,4);(2,2,4)
(8,2,0);(2,2,4)
(8,2,4);(2,2,4)
(8,4,0);(1,1,4)
(8,4,4);(1,1,4)
(9,4,0);(1,1,4)
(9,4,4);(1,1,4)
(10,0,0);(2,2,4)
(10,0,4);(2,2,4)
(10,2,0);(2,2,4)
(10,2,4);(2,2,4)
(10,4,0);(1,1,4)
(10,4,4);(1,1,4)
(11,4,0);(1,1,4)
(11,4,4);(1,1,4)
(12,0,0);(2,2,4)
(12,0,4);(2,2,4)
(12,2,0);(2,2,4)
(12,2,4);(2,2,4)
(12,4,0);(1,1,4)
(12,4,4);(1,1,4)
(13,4,0);(1,1,4)
(13,4,4);(1,1,4)
(14,0,0);(2,2,4)
(14,0,4);(2,2,4)
(14,2,0);(2,2,4)
(14,2,4);(2,2,4)
(14,4,0);(1,1,4)
(14,4,4);(1,1,4)
(15,4,0);(1,1,4)
(15,4,4);(1,1,4)
(16,0,0);(2,2,4)
(16,0,4);(2,2,4)
(16,2,0);(2,2,4)
(16,2,4);(2,2,4)
(16,4,0);(1,1,4)
(16,4,4);(1,1,4)
(17,4,0);(1,1,4)
(17,4,4);(1,1,4)
(18,0,0);(2,2,4)
(18,0,4);(2,2,4)
(18,2,0);(2,2,4)
(18,2,4);(2,2,4)
(18,4,0);(1,1,4)
(18,4,4);(1,1,4)
(19,4,0);(1,1,4)
(19,4,4);(1,1,4)
(20,0,0);(2,2,4)
(20,0,4);(2,2,4)
(20,2,0);(2,2,4)
(20,2,4);(2,2,4)
(20,4,0);(1,1,4)
(20,4,4);(1,1,4)
(21,4,0);(1,1,4)
(21,4,4);(1,1,4)
(22,0,0);(2,2,4)
(22,0,4);(2,2,4)
(22,2,0);(2,2,4)
(22,2,4);(2,2,4)
(22,4,0);(1,1,4)
(22,4,4);(1,1,4)
(23,4,0);(1,1,4)
(23,4,4);(1,1,4)
(24,0,0);(2,2,4)
(24,0,4);(2,2,4)
(24,2,0);(2,2,4)
(24,2,4);(2,2,4)
(24,4,0);(1,1,4)
(24,4,4);(1,1,4)
(25,4,0);(1,1,4)
(25,4,4);(1,1,4)
(26,0,0);(2,2,4)
(26,0,4);(2,2,4)
(26,2,0);(2,2,4)
(26,2,4);(2,2,4)
(26,4,0);(1,1,4)
(26,4,4);(1,1,4)
(27,4,0);(1,1,4)
(27,4,4);(1,1,4)
(28,0,0);(2,2,4)
(28,0,4);(2,2,4)
(28,2,0);(2,2,4)
(28,2,4);(2,2,4)
(28,4,0);(1,1,4)
(28,4,4);(1,1,4)
(29,4,0);(1,1,4)
(29,4,4);(1,1,4)
(30,0,0);(2,2,4)
(30,0,4);(2,2,4)
(30,2,0);(2,2,4)
(30,2,4);(2,2,4)
(30,4,0);(1,1,4)
(30,4,4);(1,1,4)
(31,4,0);(1,1,4)
(31,4,4);(1,1,4)
(32,0,0);(1,1,4)
(32,0,4);(1,1,4)
(32,1,0);(1,1,4)
(32,1,4);(1,1,4)
(32,2,0);(1,1,4)
(32,2,4);(1,1,4)
(32,3,0);(1,1,4)
(32,3,4);(1,1,4)
(32,4,0);(1,1,4)
(32,4,4);(1,1,4)
