(0,0,0);(4,2,2)
(0,0,2);(4,2,2)
(0,0,4);(4,2,2)
(0,0,6);(4,2,2)
(0,0,8);(4,2,2)
(0,0,10);(4,2,2)
(0,0,12);(4,2,2)
(0,0,14);(4,2,2)
(0,0,16);(4,2,2)
(0,0,18);(4,2,2)
(0,0,20);(4,2,2)
(0,0,22);(4,2,2)
(0,0,24);(4,2,2)
(0,2,0);(4,2,2)
(0,2,2);(4,2,2)
(0,2,4);(4,2,2)
(0,2,6);(4,2,2)
(0,2,8);(4,2,2)
(0,2,10);(4,2,2)
(0,2,12);(4,2,2)
(0,2,14);(4,2,2)
(0,2,16);(4,2,2)
(0,2,18);(4,2,2)
(0,2,20);(4,2,2)
(0,2,22);(4,2,2)
(0,2,24);(4,2,2)
(0,4,0);(4,2,2)
(0,4,2);(4,2,2)
(0,4,4);(4,2,2)
(0,4,6);(4,2,2)
(0,4,8);(4,2,2)
(0,4,10);(4,2,2)
(0,4,12);(4,2,2)
(0,4,14);(4,2,2)
(0,4,16);(4,2,2)
(0,4,18);(4,2,2)
(0,4,20);(4,2,2)
(0,4,22);(4,2,2)
(0,4,24);(4,2,2)
(0,6,0);(4,2,2)
(0,6,2);(4,2,2)
(0,6,4);(4,2,2)
(0,6,6);(4,2,2)
(0,6,8);(4,2,2)
(0,6,10);(4,2,2)
(0,6,12);(4,2,2)
(0,6,14);(4,2,2)
(0,6,16);(4,2,2)
(0,6,18);(4,2,2)
(0,6,20);(4,2,2)
(0,6,22);(4,2,2)
(0,6,24);(4,2,2)
(0,8,0);(4,2,2)
(0,8,2);(4,2,2)
(0,8,4);(4,2,2)
(0,8,6);(4,2,2)
(0,8,8);(4,2,2)
(0,8,10);(4,2,2)
(0,8,12);(4,2,2)
(0,8,14);(4,2,2)
(0,8,16);(4,2,2)
(0,8,18);(4,2,2)
(0,8,20);(4,2,2)
(0,8,22);(4,2,2)
(0,8,24);(4,2,2)
(4,0,0);(4,2,2)
(4,0,2);(4,2,2)
(4,0,4);(4,2,2)
(4,0,6);(4,2,2)
(4,0,8);(4,2,2)
(4,0,10);(4,2,2)
(4,0,12);(4,2,2)
(4,0,14);(4,2,2)
(4,0,16);(4,2,2)
(4,0,18);(4,2,2)
(4,0,20);(4,2,2)
(4,0,22);(4,2,2)
(4,0,24);(4,2,2)
(4,2,0);(4,2,2)
(4,2,2);(4,2,2)
(4,2,4);(4,2,2)
(4,2,6);(4,2,2)
(4,2,8);(4,2,2)
(4,2,10);(4,2,2)
(4,2,12);(4,2,2)
(4,2,14);(4,2,2)
(4,2,16);(4,2,2)
(4,2,18);(4,2,2)
(4,2,20);(4,2,2)
(4,2,22);(4,2,2)
(4,2,24);(4,2,2)
(4,4,0);(4,2,2)
(4,4,2);(4,2,2)
(4,4,4);(4,2,2)
(4,4,6);(4,2,2)
(4,4,8);(4,2,2)
(4,4,10);(4,2,2)
(4,4,12);(4,2,2)
(4,4,14);(4,2,2)
(4,4,16);(4,2,2)
(4,4,18);(4,2,2)
(4,4,20);(4,2,2)
(4,4,22);(4,2,2)
(4,4,24);(4,2,2)
(4,6,0);(4,2,2)
(4,6,2);(4,2,2)
(4,6,4);(4,2,2)
(4,6,6);(4,2,2)
(4,6,8);(4,2,2)
(4,6,10);(4,2,2)
(4,6,12);(4,2,2)
(4,6,14);(4,2,2)
(4,6,16);(4,2,2)
(4,6,18);(4,2,2)
(4,6,20);(4,2,2)
(4,6,22);(4,2,2)
(4,6,24);(4,2,2)
(4,8,0);(4,2,2)
(4,8,2);(4,2,2)
(4,8,4);(4,2,2)
(4,8,6);(4,2,2)
(4,8,8);(4,2,2)
(4,8,10);(4,2,2)
(4,8,12);(4,2,2)
(4,8,14);(4,2,2)
(4,8,16);(4,2,2)
(4,8,18);(4,2,2)
(4,8,20);(4,2,2)
(4,8,22);(4,2,2)
(4,8,24);(4,2,2)
(8,0,0);(4,2,2)
(8,0,2);(4,2,2)
(8,0,4);(4,2,2)
(8,0,6);(4,2,2)
(8,0,8);(4,2,2)
(8,0,10);(4,2,2)
(8,0,12);(4,2,2)
(8,0,14);(4,2,2)
(8,0,16);(4,2,2)
(8,0,18);(4,2,2)
(8,0,20);(4,2,2)
(8,0,22);(4,2,2)
(8,0,24);(4,2,2)
(8,2,0);(4,2,2)
(8,2,2);(4,2,2)
(8,2,4);(4,2,2)
(8,2,6);(4,2,2)
(8,2,8);(4,2,2)
(8,2,10);(4,2,2)
(8,2,12);(4,2,2)
(8,2,14);(4,2,2)
(8,2,16);(4,2,2)
(8,2,18);(4,2,2)
(8,2,20);(4,2,2)
