(0,0,0);(4,4,4)
(0,0,4);(4,4,4)
(0,4,0);(1,1,1)
(0,4,1);(1,1,1)
(0,4,2);(1,1,1)
(0,4,3);(1,1,1)
(0,4,4);(1,1,1)
(0,4,5);(1,1,1)
(0,4,6);(1,1,1)
(0,4,7);(1,1,1)
(1,4,0);(1,1,1)
(1,4,1);(1,1,1)
(1,4,2);(1,1,1)
(1,4,3);(1,1,1)
(1,4,4);(1,1,1)
(1,4,5);(1,1,1)
(1,4,6);(1,1,1)
(1,4,7);(1,1,1)
(2,4,0);(1,1,1)
(2,4,1);(1,1,1)
(2,4,2);(1,1,1)
(2,4,3);(1,1,1)
(2,4,4);(1,1,1)
(2,4,5);(1,1,1)
(2,4,6);(1,1,1)
(2,4,7);(1,1,1)
(3,4,0);(1,1,1)
(3,4,1);(1,1,1)
(3,4,2);(1,1,1)
(3,4,3);(1,1,1)
(3,4,4);(1,1,1)
(3,4,5);(1,1,1)
(3,4,6);(1,1,1)
(3,4,7);(1,1,1)
(4,0,0);(4,4,4)
(4,0,4);(4,4,4)
(4,4,0);(1,1,1)
(4,4,1);(1,1,1)
(4,4,2);(1,1,1)
(4,4,3);(1,1,1)
(4,4,4);(1,1,1)
(4,4,5);(1,1,1)
(4,4,6);(1,1,1)
(4,4,7);(1,1,1)
(5,4,0);(1,1,1)
(5,4,1);(1,1,1)
(5,4,2);(1,1,1)
(5,4,3);(1,1,1)
(5,4,4);(1,1,1)
(5,4,5);(1,1,1)
(5,4,6);(1,1,1)
(5,4,7);(1,1,1)
(6,4,0);(1,1,1)
(6,4,1);(1,1,1)
(6,4,2);(1,1,1)
(6,4,3);(1,1,1)
(6,4,4);(1,1,1)
(6,4,5);(1,1,1)
(6,4,6);(1,1,1)
(6,4,7);(1,1,1)
(7,4,0);(1,1,1)
(7,4,1);(1,1,1)
(7,4,2);(1,1,1)
(7,4,3);(1,1,1)
(7,4,4);(1,1,1)
(7,4,5);(1,1,1)
(7,4,6);(1,1,1)
(7,4,7);(1,1,1)
(8,0,0);(4,4,4)
(8,0,4);(4,4,4)
(8,4,0);(1,1,1)
(8,4,1);(1,1,1)
(8,4,2);(1,1,1)
(8,4,3);(1,1,1)
(8,4,4);(1,1,1)
(8,4,5);(1,1,1)
(8,4,6);(1,1,1)
(8,4,7);(1,1,1)
(9,4,0);(1,1,1)
(9,4,1);(1,1,1)
(9,4,2);(1,1,1)
(9,4,3);(1,1,1)
(9,4,4);(1,1,1)
(9,4,5);(1,1,1)
(9,4,6);(1,1,1)
(9,4,7);(1,1,1)
(10,4,0);(1,1,1)
(10,4,1);(1,1,1)
(10,4,2);(1,1,1)
(10,4,3);(1,1,1)
(10,4,4);(1,1,1)
(10,4,5);(1,1,1)
(10,4,6);(1,1,1)
(10,4,7);(1,1,1)
(11,4,0);(1,1,1)
(11,4,1);(1,1,1)
(11,4,2);(1,1,1)
(11,4,3);(1,1,1)
(11,4,4);(1,1,1)
(11,4,5);(1,1,1)
(11,4,6);(1,1,1)
(11,4,7);(1,1,1)
(12,0,0);(4,4,4)
(12,0,4);(4,4,4)
(12,4,0);(1,1,1)
(12,4,1);(1,1,1)
(12,4,2);(1,1,1)
(12,4,3);(1,1,1)
(12,4,4);(1,1,1)
(12,4,5);(1,1,1)
(12,4,6);(1,1,1)
(12,4,7);(1,1,1)
(13,4,0);(1,1,1)
(13,4,1);(1,1,1)
(13,4,2);(1,1,1)
(13,4,3);(1,1,1)
(13,4,4);(1,1,1)
(13,4,5);(1,1,1)
(13,4,6);(1,1,1)
(13,4,7);(1,1,1)
(14,4,0);(1,1,1)
(14,4,1);(1,1,1)
(14,4,2);(1,1,1)
(14,4,3);(1,1,1)
(14,4,4);(1,1,1)
(14,4,5);(1,1,1)
(14,4,6);(1,1,1)
(14,4,7);(1,1,1)
(15,4,0);(1,1,1)
(15,4,1);(1,1,1)
(15,4,2);(1,1,1)
(15,4,3);(1,1,1)
(15,4,4);(1,1,1)
(15,4,5);(1,1,1)
(15,4,6);(1,1,1)
(15,4,7);(1,1,1)
(16,0,0);(4,4,4)
(16,0,4);(4,4,4)
(16,4,0);(1,1,1)
(16,4,1);(1,1,1)
(16,4,2);(1,1,1)
(16,4,3);(1,1,1)
(16,4,4);(1,1,1)
